"%1 automation trigger(s) saved.","%1 automaatika päästik(ut) salvestatud."
"%1 event(s) queued for retry.","%1 sündmus(t) pandi uuesti proovimiseks järjekorda."
"%1 events failed in the last 24 hours","Viimase 24 tunni jooksul ebaõnnestus %1 sündmust"
"%1 failed delivery(ies) in the last 24 hours.","%1 ebaõnnestunud saatmist viimase 24 tunni jooksul."
"%1 of %2","%1 / %2"
"%1 Your saved automations are unchanged.","%1 Sinu salvestatud automaatikad jäävad muutmata."
"Subscriber Synchronization","Tellijate sünkroonimine"
"Subscribers","Tellijad"
"Subscribers only (consent)","Ainult tellijad (nõusolek)"
"Subscription type","Tellimuse tüüp"
"Subscription Type","Tellimuse tüüp"
"Suppress Magento's own newsletter confirmation and unsubscription emails so Smaily automations handle them instead.","Jäta Magento enda uudiskirja kinnitus- ja loobumiskirjad ära, et nendega tegeleks Smaily automaatikad."
"Switching the multilingual mode changes how contacts and automations are routed. Per-language accounts and workflow mappings that no longer apply stop being used (per-store-view credentials are removed on save). Continue?","Mitmekeelse režiimi vahetamine muudab kontaktide ja automaatikate suunamist. Keelepõhised kontod ja töövoovastendused, mis enam ei kehti, jäävad kasutusest välja (poevaatepõhised kasutajaandmed eemaldatakse salvestamisel). Kas jätkata?"
"Sync Catalog","Sünkrooni kataloog"
"Sync catalog changes to the engine","Sünkrooni kataloogimuudatused mootorisse"
"Sync customer changes to the engine","Sünkrooni kliendimuudatused mootorisse"
"Sync Customers","Sünkrooni kliendid"
"Sync order changes to the engine","Sünkrooni tellimusemuudatused mootorisse"
"Sync Orders","Sünkrooni tellimused"
"Synchronize newsletter subscribers between this store and Smaily.","Sünkrooni uudiskirja tellijad selle poe ja Smaily vahel."
"Synchronized Fields","Sünkroonitavad väljad"
"Test connection","Testi ühendust"
"Test Emails","Test-aadressid"
"Test Mode","Testrežiim"
"Test mode","Testrežiim"
"Testing…","Testin…"
"Tests the credentials entered above without saving. Workflow dropdowns below refresh automatically after a successful test.","Testib ülal sisestatud kasutajaandmeid ilma salvestamata. Allolevad töövoovalikud värskenevad pärast õnnestunud testi automaatselt."
"That cart is no longer available.","See ostukorv pole enam saadaval."
"That setting is not managed by Smaily Connect, so it was not touched.","See säte pole Smaily Connecti hallata, seega jäi see puutumata."
"The %1 account","%1 konto"
"The automation receives the cart contents (up to 10 products) and a recovery link that restores the exact cart.","Automaatika saab kaasa ostukorvi sisu (kuni 10 toodet) ja taastamislingi, mis taastab täpselt sama ostukorvi."
"The configuration was saved, but Smaily rejected the API credentials. Check the subdomain, username and password — synchronization will not work until they are correct.","Seadistus salvestati, kuid Smaily lükkas API kasutajaandmed tagasi. Kontrolli alamdomeeni, kasutajanime ja parooli — sünkroonimine ei tööta enne, kui need on õiged."
"The default fallback handles contacts whose language is not mapped. Leave it on ""None"" to fall back to the default workflow above.","Vaikimisi varuvalik käsitleb kontakte, kelle keel pole vastendatud. Jäta valikuks „Puudub“, et kasutada ülalolevat vaikimisi töövoogu."
"The engine has not responded for over an hour (%1). Data is queued locally and will sync when the connection recovers.","Mootor pole vastanud üle tunni (%1). Andmed on kohalikus järjekorras ja sünkroonitakse, kui ühendus taastub."
"the full merchant documentation: every feature, setting and troubleshooting steps","täielik kaupmehe dokumentatsioon: kõik funktsioonid, seadistused ja veaotsingu sammud"
"The one-time token is exchanged immediately and never stored.","Ühekordne võti vahetatakse kohe ja seda ei salvestata."
"The product feed for the Smaily template editor is served at <strong>{store URL}smaily/rss/feed</strong>. Optional query parameters: <em>category</em> (category ID), <em>limit</em> (1-250, default 50), <em>sort</em> (created_at, updated_at, name, price), <em>order</em> (asc, desc). Example: https://example.com/smaily/rss/feed?category=12&limit=100&sort=updated_at","Tootevoog Smaily mallide redaktori jaoks asub aadressil <strong>{store URL}smaily/rss/feed</strong>. Valikulised parameetrid: <em>category</em> (kategooria ID), <em>limit</em> (1-250, vaikimisi 50), <em>sort</em> (created_at, updated_at, name, price), <em>order</em> (asc, desc). Näide: https://example.com/smaily/rss/feed?category=12&limit=100&sort=updated_at"
"The Smaily recommendation engine uses your catalog, orders and (opt-in) browsing behavior to personalize newsletters and run smart automations like replenishment reminders and win-back. Skip this step if you do not have an Intelligence subscription — you can connect any time later.","Smaily soovitusmootor kasutab sinu kataloogi, tellimusi ja (nõusolekul) sirvimiskäitumist, et personaliseerida uudiskirju ja käitada nutikaid automaatikaid, nagu taastäite meeldetuletused ja win-back. Kui sul pole Intelligence'i tellimust, jäta see samm vahele — ühendada saab igal ajal hiljem."
"These automations run inside the Campaign Intelligence engine and fire the mapped Smaily workflow. Every trigger starts disabled and in test mode — nothing reaches real customers without your explicit action.","Need automaatikad töötavad Campaign Intelligence'i mootoris ja käivitavad seotud Smaily töövoo. Iga päästik alustab välja lülitatuna ja testrežiimis — miski ei jõua päris klientideni ilma sinu selgesõnalise tegevuseta."
"These engine-run automations (replenishment reminders, win-back and more) become available once Campaign Intelligence is connected.","Need mootoris töötavad automaatikad (varude täiendamise meeldetuletused, tagasivõitmine ja muud) muutuvad kättesaadavaks, kui Campaign Intelligence on ühendatud."
"This is a lawful-basis choice. Pick the preset that matches how you have asked your customers for permission — you can change it later under Configuration.","See on õigusliku aluse valik. Vali eelseadistus, mis vastab sellele, kuidas oled klientidelt luba küsinud — hiljem saab seda seadistuses muuta."
"This log row no longer exists — it has likely been pruned by retention.","Seda logirida ei ole enam olemas — tõenäoliselt on see säilitusreegli järgi kustutatud."
"Tip: make sure the Magento cron runs every minute — deliveries are queued and flushed by the smaily_connect cron group.","Vihje: veendu, et Magento cron käivitub iga minut — järjekorda pandud saadetised saadab välja smaily_connect cron-grupp."
"Treat every store view the same: one Smaily account and one workflow per automation.","Kohtle kõiki poevaateid ühtmoodi: üks Smaily konto ja üks töövoog automaatika kohta."
"Trigger","Päästik"
"Trigger Smaily automation workflows on store events. Workflow lists load from your Smaily account after the API connection is saved. In per-language multilingual modes, per-language workflow mappings override these defaults.","Käivita poe sündmustel Smaily automaatika töövooge. Töövoogude loendid laaditakse sinu Smaily kontolt pärast API ühenduse salvestamist. Keelepõhistes mitmekeelsetes režiimides on keelepõhised töövoo seosed nende vaikeväärtuste ees ülimuslikud."
"Type","Tüüp"
"Unknown automation trigger ""%1"".","Tundmatu automaatika päästik ""%1""."
"Unknown ingest domain ""%1""","Tundmatu andmevoo domeen „%1“"
"Unknown wizard step ""%1"".","Tundmatu viisardi samm „%1“."
"Unreachable","Kättesaamatu"
"Updated","Uuendatud"
"Use default","Kasuta vaikeväärtust"
"Used when a contact's language cannot be matched to any account. Its credentials also serve every scope without a per-language override.","Kasutusel siis, kui kontakti keelt ei õnnestu ühegi kontoga sobitada. Selle kasutajaandmed teenindavad ka kõiki skoope, millel keelepõhist erandit pole."
"User Guide","Kasutusjuhend"
"Verify","Kontrolli"
"View failed deliveries","Vaata ebaõnnestunud saatmisi"
"View full log","Vaata täislogi"
"View them in the Log","Vaata neid logis"
"Wait","Oota"
"Waiting for the next queue flush (runs every minute).","Ootab järgmist järjekorra töötlust (käivitub iga minut)."
"Want a different workflow per language? Pick a per-language mode on the Connection panel.","Soovid igale keelele eri töövoogu? Vali ühenduse paneelil keelepõhine režiim."
"We use your shopping activity to personalize product recommendations in our newsletters. You can opt out at any time; newsletters will then show generic content.","Kasutame sinu ostutegevust, et personaliseerida meie uudiskirjade tootesoovitusi. Saad igal ajal loobuda; seejärel näitavad uudiskirjad üldist sisu."
"Welcome","Tervitus"
"Welcome Workflow","Tervituse töövoog"
"Welcome — fires when someone becomes a subscriber","Tervitus — käivitub, kui keegi saab tellijaks"
"Who should be synced to Smaily?","Keda peaks Smailysse sünkroonima?"
"Workflow","Töövoog"
"Workflow #%1 (not in your Smaily list — kept)","Töövoog #%1 (pole sinu Smaily loendis — säilitatud)"
"You are all set!","Kõik on valmis!"
"You can find or create API credentials in Smaily under Preferences > API. The password is stored encrypted and never leaves your server.","API kasutajaandmed leiad või lood Smailys menüüst Preferences > API. Parool salvestatakse krüpteeritult ega lahku kunagi sinu serverist."
"Your personalization preference has been saved.","Sinu personaliseerimise eelistus on salvestatud."
"Your Smaily API credentials for this store.","Sinu Smaily API andmed selle poe jaoks."
"Your Smaily subdomain. For example, if your Smaily URL is https://demo.sendsmaily.net, enter ""demo"". Pasting the full URL also works.","Sinu Smaily alamdomeen. Näiteks kui sinu Smaily URL on https://demo.sendsmaily.net, sisesta „demo“. Sobib ka täieliku URL-i kleepimine."
"Your store has %1 customers, %2 orders and %3 products. The import runs in the background, a chunk per minute, and never slows the storefront down.","Sinu poes on %1 klienti, %2 tellimust ja %3 toodet. Import töötab taustal, üks tükk minutis, ega aeglusta kunagi poe tööd."
"Your store views speak %1 languages (%2). Pick how contacts and automations should route between them — the sections below adapt right away.","Sinu poevaated räägivad %1 keelt (%2). Vali, kuidas kontaktid ja automaatikad nende vahel suunduvad — allolevad jaotised kohanduvad kohe."
